"","Country","year","month","mean_price","sd_price","Country code","Date","demand","share_nuclear","oil","temp","oil_imputed"
"1","Austria",2015,1,31.6796774193548,9.39235912284412,"AUT",2015-01-01,5.89,0,56.18,545.53,56.18
"2","Austria",2015,2,36.6946428571429,8.25403850969795,"AUT",2015-02-01,5.48,0,57.89,517.54,57.89
"3","Austria",2015,3,31.2977419354839,8.92972179845763,"AUT",2015-03-01,5.74,0,59.87,428.3,59.87
"4","Austria",2015,4,29.7783333333333,8.19656365479622,"AUT",2015-04-01,5.03,0,61.08,295.81,61.08
"5","Austria",2015,5,25.3296774193548,7.173351371045,"AUT",2015-05-01,4.7,0,64.31,153.85,64.31
"6","Austria",2015,6,30.109,5.39294516810684,"AUT",2015-06-01,4.45,0,63.73,59.04,63.73
"7","Austria",2015,7,34.9790322580645,9.39144303957552,"AUT",2015-07-01,4.75,0,57.96,49.47,57.96
"8","Austria",2015,8,31.6129032258065,6.02775535532556,"AUT",2015-08-01,4.37,0,55.71,54,55.71
"9","Austria",2015,9,31.8886666666667,7.5927137183747,"AUT",2015-09-01,4.53,0,48.79,155.48,48.79
"10","Austria",2015,10,39.3687096774194,6.27150739027202,"AUT",2015-10-01,4.5,0,48.48,297.07,48.48
"11","Austria",2015,11,32.3813333333333,8.9855292605363,"AUT",2015-11-01,4.82,0,49.96,353.98,49.96
"12","Austria",2015,12,27.7861290322581,9.17587731588261,"AUT",2015-12-01,5.65,0,44.77,473.88,44.77
"13","Austria",2016,1,29.0258064516129,9.53278894979273,"AUT",2016-01-01,5.92,0,36.26,586.8,36.26
"14","Austria",2016,2,21.9979310344828,6.07319660434881,"AUT",2016-02-01,5.32,0,33.22,434.88,33.22
"15","Austria",2016,3,24.2990322580645,5.68033118449896,"AUT",2016-03-01,5.38,0,35.63,439.17,35.63
"16","Austria",2016,4,24.2106666666667,3.62942090311306,"AUT",2016-04-01,4.75,0,39.76,279.4,39.76
"17","Austria",2016,5,22.5509677419355,9.45428627831092,"AUT",2016-05-01,4.7,0,41.06,176.4,41.06
"18","Austria",2016,6,27.705,4.15535943920204,"AUT",2016-06-01,4.47,0,45.44,57.89,45.44
"19","Austria",2016,7,27.1812903225806,5.20949885109594,"AUT",2016-07-01,4.51,0,46.13,36.96,46.13
"20","Austria",2016,8,27.1816129032258,4.62712876902743,"AUT",2016-08-01,4.54,0,45.98,41.83,45.98
"21","Austria",2016,9,30.5103333333333,4.00971706228011,"AUT",2016-09-01,4.62,0,44.66,78.41,44.66
"22","Austria",2016,10,37.1412903225806,5.78714249691243,"AUT",2016-10-01,5.11,0,47.12,309.15,47.12
"23","Austria",2016,11,38.214,9.61653410932765,"AUT",2016-11-01,5.73,0,46.34,440.29,46.34
"24","Austria",2016,12,37.4706451612903,17.1459888283886,"AUT",2016-12-01,5.58,0,47.09,550.58,47.09
"25","Austria",2017,1,52.4061290322581,18.7128445508104,"AUT",2017-01-01,6.14,0,55.42,723.41,55.42
"26","Austria",2017,2,39.6803571428571,11.6060892326025,"AUT",2017-02-01,5.45,0,54.94,447.9,54.94
"27","Austria",2017,3,31.6925806451613,6.65022604515162,"AUT",2017-03-01,5.44,0,54.01,349.14,54.01
"28","Austria",2017,4,28.721,10.5790982439512,"AUT",2017-04-01,4.92,0,51.13,317.57,51.13
"29","Austria",2017,5,30.6090322580645,10.6988358727601,"AUT",2017-05-01,4.85,0,52.81,134.47,52.81
"30","Austria",2017,6,30.004,6.97132234030344,"AUT",2017-06-01,4.58,0,49,34.87,49
"31","Austria",2017,7,33.0058064516129,6.66610519678648,"AUT",2017-07-01,4.8,0,49.21,41.46,49.21
"32","Austria",2017,8,30.8551612903226,7.35915206663002,"AUT",2017-08-01,4.48,0,52.25,44.09,52.25
"33","Austria",2017,9,34.2976666666667,7.16731069814042,"AUT",2017-09-01,4.68,0,54.9,177.86,54.9
"34","Austria",2017,10,28.2890322580645,18.9144710657984,"AUT",2017-10-01,5.15,0,55.59,244.55,55.59
"35","Austria",2017,11,40.3796666666667,15.2201476007464,"AUT",2017-11-01,5.54,0,59.8,446.92,59.8
"36","Austria",2017,12,30.71,18.089616542831,"AUT",2017-12-01,5.82,0,65.03,571.88,65.03
"37","Austria",2018,1,29.5016129032258,13.5723491203683,"AUT",2018-01-01,5.8,0,68.8,514.15,68.8
"38","Austria",2018,2,40.1225,8.47465092693105,"AUT",2018-02-01,5.24,0,69.5,592.82,69.5
"39","Austria",2018,3,37.3593548387097,12.2677517460709,"AUT",2018-03-01,5.78,0,66.14,503.31,66.14
"40","Austria",2018,4,31.9606666666667,8.27635099226262,"AUT",2018-04-01,4.87,0,69.82,163.73,69.82
"41","Austria",2018,5,33.6583870967742,11.8031250372586,"AUT",2018-05-01,4.71,0,71.58,88.44,71.58
"42","Austria",2018,6,42.3936666666667,8.64569116653645,"AUT",2018-06-01,4.78,0,73.77,48.62,73.77
"43","Austria",2018,7,49.5906451612903,6.7537771829221,"AUT",2018-07-01,4.73,0,74.69,27.84,74.69
"44","Austria",2018,8,56.2161290322581,6.71873583219311,"AUT",2018-08-01,5.03,0,73.34,46.76,73.34
"45","Austria",2018,9,54.7586666666667,10.4382634086569,"AUT",2018-09-01,4.92,0,77.23,88.08,77.23
"46","Austria",2018,10,61.6451612903226,10.3199537695889,"AUT",2018-10-01,5.12,0,79.26,219.13,79.26
"47","Austria",2018,11,61.823,9.96112760200613,"AUT",2018-11-01,5.2,0,71.52,391.24,71.52
"48","Austria",2018,12,56.3309677419355,10.3459088064925,"AUT",2018-12-01,5.61,0,60.03,542.22,60.03
"49","Austria",2019,1,56.0241935483871,13.0802163015228,"AUT",2019-01-01,5.89,0,60.78,625.35,60.78
"50","Austria",2019,2,46.0307142857143,5.54979741276664,"AUT",2019-02-01,5.11,0,63.53,441.02,63.53
"51","Austria",2019,3,33.0661290322581,9.38416278539517,"AUT",2019-03-01,5.31,0,64.41,382.63,64.41
"52","Austria",2019,4,37.7513333333333,10.370250132764,"AUT",2019-04-01,4.64,0,68.78,272.76,68.78
"53","Austria",2019,5,37.921935483871,7.74807219866329,"AUT",2019-05-01,4.91,0,71.45,248.64,71.45
"54","Austria",2019,6,34.583,7.14381726896859,"AUT",2019-06-01,4.53,0,67.6,30.65,67.6
"55","Austria",2019,7,40.0787096774194,6.65035675330554,"AUT",2019-07-01,4.64,0,66.03,40.18,66.03
"56","Austria",2019,8,37.6787096774194,6.65601469446269,"AUT",2019-08-01,4.54,0,62.27,27.83,62.27
"57","Austria",2019,9,38.051,6.50416383875586,"AUT",2019-09-01,4.58,0,59.93,108.36,59.93
"58","Austria",2019,10,38.9916129032258,6.19804167823687,"AUT",2019-10-01,5.03,0,61.59,230.26,61.59
"59","Austria",2019,11,42.7466666666667,6.72260280737655,"AUT",2019-11-01,5.21,0,62.37,394,62.37
"60","Austria",2019,12,38.118064516129,8.50668851330326,"AUT",2019-12-01,5.57,0,65.36,517.98,65.36
"61","Austria",2020,1,40.6929032258065,4.54757898487271,"AUT",2020-01-01,5.49,0,66.982,554.71,66.982
"62","Austria",2020,2,29.0862068965517,7.08145233983675,"AUT",2020-02-01,5.26,0,58.329,425.54,58.329
"63","Austria",2020,3,24.601935483871,8.85622734552919,"AUT",2020-03-01,5.03,0,44.321,430.05,44.321
"64","Austria",2020,4,18.263,8.55425167528627,"AUT",2020-04-01,4.04,0,26.211,248.88,26.211
"65","Austria",2020,5,17.5322580645161,9.69157699918764,"AUT",2020-05-01,4.3,0,23.898,188.9,23.898
"66","Austria",2020,6,26.5866666666667,7.51626894480065,"AUT",2020-06-01,4.24,0,35.675,69.11,35.675
"67","Austria",2020,7,32.3116129032258,8.31953608353022,"AUT",2020-07-01,4.46,0,42.556,37.55,42.556
"68","Austria",2020,8,35.9777419354839,6.64484096106517,"AUT",2020-08-01,4.38,0,45.734,29.23,45.734
"69","Austria",2020,9,45.5393333333333,9.39469510372498,"AUT",2020-09-01,4.43,0,42.702,95.29,42.702
"70","Austria",2020,10,35.4925806451613,8.37081356768542,"AUT",2020-10-01,5.09,0,40.806,288.94,40.806
"71","Austria",2020,11,41.1776666666667,9.9940043002804,"AUT",2020-11-01,5.06,0,40.409,415.61,40.409
"72","Austria",2020,12,50.1912903225806,11.2430410304732,"AUT",2020-12-01,5.39,0,47.041,548.98,47.041
"73","Austria",2021,1,57.6806451612903,8.78517043488016,"AUT",2021-01-01,5.49,0,52.312,618.7,52.312
"74","Austria",2021,2,50.3882142857143,11.1774936081301,"AUT",2021-02-01,4.8,0,57.244,458.26,57.244
"75","Austria",2021,3,53.6529032258065,7.62196964637898,"AUT",2021-03-01,5.22,0,63.579,456.81,63.579
"76","Austria",2021,4,60.0843333333333,16.5633014956796,"AUT",2021-04-01,4.9,0,65.533,366.48,65.533
"77","Austria",2021,5,54.81,18.6370881130431,"AUT",2021-05-01,4.73,0,66.732,235.99,66.732
"78","Austria",2021,6,74.3366666666667,15.9141020380718,"AUT",2021-06-01,4.43,0,69.035,41.67,69.035
"79","Austria",2021,7,83.6116129032258,13.9907279050029,"AUT",2021-07-01,4.64,0,72.483,32.28,72.483
"80","Austria",2021,8,82.9377419354839,20.6900692297339,"AUT",2021-08-01,4.38,0,72.593,66.92,72.593
"81","Austria",2021,9,134.685666666667,19.7933980082411,"AUT",2021-09-01,4.6,0,71.71,86.12,71.71
"82","Austria",2021,10,169.779032258065,43.6371514006768,"AUT",2021-10-01,5.18,0,78.02,296.71,78.02
"83","Austria",2021,11,206.308,38.5109557542195,"AUT",2021-11-01,5.11,0,79.406,438.71,79.406
"84","Austria",2021,12,250.03064516129,83.1074380119086,"AUT",2021-12-01,5.8,0,78.131,559.44,78.131
"85","Austria",2022,1,189.164193548387,52.0819785065937,"AUT",2022-01-01,5.52,0,82.528,552.26,82.528
"86","Austria",2022,2,167.805357142857,36.6470840113425,"AUT",2022-02-01,5.03,0,94.299,445.39,94.299
"87","Austria",2022,3,282.625483870968,89.0442016019276,"AUT",2022-03-01,5.21,0,105.429,446.07,105.429
"88","Austria",2022,4,186.409666666667,42.3561978922218,"AUT",2022-04-01,4.6,0,115.92,329.11,115.92
"89","Austria",2022,5,184.519032258064,43.7753650930778,"AUT",2022-05-01,4.66,0,112.207,105.41,112.207
"90","Austria",2022,6,228.575333333333,72.8406484061605,"AUT",2022-06-01,4.36,0,108.698,30.84,108.698
"91","Austria",2022,7,359.196774193548,88.6259301930346,"AUT",2022-07-01,4.75,0,111.719,31.66,111.719
"92","Austria",2022,8,489.458709677419,125.866464099641,"AUT",2022-08-01,4.48,0,123.264,27.4,123.264
"93","Austria",2022,9,401.456666666667,82.8682118386377,"AUT",2022-09-01,4.5,0,106.024,156.01,106.024
"94","Austria",2022,10,183.904838709677,48.931782913969,"AUT",2022-10-01,4.79,0,98.623,183.53,98.623
"95","Austria",2022,11,213.132666666667,68.4435687481922,"AUT",2022-11-01,4.99,0,96.769,396.93,96.769
"96","Austria",2022,12,265.718064516129,137.084625576548,"AUT",2022-12-01,5.5,0,88.55,553.6,88.55
"97","Austria",2023,1,145.15935483871,33.0787845338452,"AUT",2023-01-01,5.13,0,82.535,NA,82.535
"98","Austria",2023,2,144.649285714286,17.3203059866418,"AUT",2023-02-01,4.78,0,79.54,NA,79.54
"99","Austria",2023,3,113.234193548387,24.9981985716563,"AUT",2023-03-01,4.84,0,81.22,NA,81.22
"100","Austria",2023,4,104.891,20.0468094202303,"AUT",2023-04-01,4.49,0,84.571,NA,84.571
"101","Austria",2023,5,82.2464516129032,22.6170608978248,"AUT",2023-05-01,4.31,0,79.502,NA,79.502
"102","Austria",2023,6,94.9023333333333,22.829441318603,"AUT",2023-06-01,4.03,0,76.905,NA,76.905
"103","Austria",2023,7,84.7190322580645,29.9517083936614,"AUT",2023-07-01,4.3,0,79.246,NA,79.246
"104","Belgium",2015,1,43.401935483871,4.73576422509598,"BEL",2015-01-01,8.07,41.63,48.85,458.8,48.85
"105","Belgium",2015,2,50.5428571428571,5.39463166431692,"BEL",2015-02-01,7.31,40.53,57.15,419.81,57.15
"106","Belgium",2015,3,47.0493548387097,12.5702662224483,"BEL",2015-03-01,7.66,40.28,55.8,363.95,55.8
"107","Belgium",2015,4,47.69,8.12788431563072,"BEL",2015-04-01,7.07,34.6,57.45,253.03,57.45
"108","Belgium",2015,5,37.5777419354839,8.69724772928287,"BEL",2015-05-01,6.93,41.2,62.57,158.73,62.57
"109","Belgium",2015,6,39.1153333333333,8.4729873953818,"BEL",2015-06-01,6.83,44.92,61.17,57.87,61.17
"110","Belgium",2015,7,42.5812903225806,9.57740978968583,"BEL",2015-07-01,6.72,37.32,56.94,43.79,56.94
"111","Belgium",2015,8,42.438064516129,7.96448927818762,"BEL",2015-08-01,6.73,31.1,46.52,14.67,46.52
"112","Belgium",2015,9,52.486,26.256509025514,"BEL",2015-09-01,6.9,23.54,46.65,125.51,46.65
"113","Belgium",2015,10,55.4306451612903,32.3006869829404,"BEL",2015-10-01,7.36,37.27,46.85,242.18,46.85
"114","Belgium",2015,11,43.1076666666667,7.84399866506052,"BEL",2015-11-01,7.27,35.75,43.11,249.62,43.11
"115","Belgium",2015,12,35.9367741935484,9.79744299535914,"BEL",2015-12-01,7.44,41.05,36.66,274.75,36.66
"116","Belgium",2016,1,32.5993548387097,9.92516294928665,"BEL",2016-01-01,7.9,53.67,29.64,416.3,29.64
"117","Belgium",2016,2,25.3996551724138,6.10253254381129,"BEL",2016-02-01,7.44,55.62,30.14,385.25,30.14
"118","Belgium",2016,3,27.1196774193548,5.18245018234359,"BEL",2016-03-01,7.62,54.94,37.73,395.49,37.73
"119","Belgium",2016,4,25.427,4.7900321430064,"BEL",2016-04-01,7.06,56.63,39.9,279.58,39.9
"120","Belgium",2016,5,25.3777419354839,6.93459718112856,"BEL",2016-05-01,6.81,53.56,44.98,117.23,44.98
"121","Belgium",2016,6,30.699,6.60514916691829,"BEL",2016-06-01,6.71,54.91,46.64,36.62,46.64
"122","Belgium",2016,7,31.3203225806452,5.46915927961569,"BEL",2016-07-01,6.49,55.77,44.82,17.26,44.82
"123","Belgium",2016,8,28.9064516129032,5.39655170665311,"BEL",2016-08-01,6.65,57.29,44.11,27.55,44.11
"124","Belgium",2016,9,37.728,7.13857630933073,"BEL",2016-09-01,6.75,51.34,44.52,23.66,44.52
"125","Belgium",2016,10,57.1887096774194,20.3262634280439,"BEL",2016-10-01,7.29,37.85,47.61,242.66,47.61
"126","Belgium",2016,11,62.324,23.8094227362715,"BEL",2016-11-01,7.44,42.81,44.22,355.13,44.22
"127","Belgium",2016,12,54.9190322580645,15.1667375869782,"BEL",2016-12-01,7.83,47.89,52.12,423.86,52.12
"128","Belgium",2017,1,72.6606451612903,21.0396062915451,"BEL",2017-01-01,8.43,48.07,52.23,534.26,52.23
"129","Belgium",2017,2,47.545,9.11839471739528,"BEL",2017-02-01,7.27,49.78,53.61,340.47,53.61
"130","Belgium",2017,3,34.4658064516129,5.43399286847376,"BEL",2017-03-01,7.61,49.79,50.23,268.64,50.23
"131","Belgium",2017,4,37.3163333333333,5.09508517971052,"BEL",2017-04-01,6.96,38.45,51.15,289.46,51.15
"132","Belgium",2017,5,37.201935483871,7.6915535575742,"BEL",2017-05-01,6.9,46.62,48.96,105.28,48.96
"133","Belgium",2017,6,32.715,6.13644721991142,"BEL",2017-06-01,6.72,55.15,45.89,20.89,45.89
"134","Belgium",2017,7,33.548064516129,5.80661084130542,"BEL",2017-07-01,6.65,57.52,47.03,11.17,47.03
"135","Belgium",2017,8,31.7909677419355,6.34818995454017,"BEL",2017-08-01,6.77,59.31,50.7,11.23,50.7
"136","Belgium",2017,9,37.198,6.07701117553573,"BEL",2017-09-01,6.79,55.8,54.38,110.18,54.38
"137","Belgium",2017,10,49.0077419354839,9.97877003432034,"BEL",2017-10-01,7.27,44.13,57.02,141.09,57.02
"138","Belgium",2017,11,66.6256666666667,19.698145139937,"BEL",2017-11-01,7.58,43.34,61.27,340.16,61.27
"139","Belgium",2017,12,55.0248387096774,17.730428998564,"BEL",2017-12-01,7.81,48.92,63.65,428.02,63.65
"140","Belgium",2018,1,36.8058064516129,8.58890050169153,"BEL",2018-01-01,7.95,52.81,68.51,385.22,68.51
"141","Belgium",2018,2,47.3910714285714,8.34399688367086,"BEL",2018-02-01,7.5,48.54,67.06,486.05,67.06
"142","Belgium",2018,3,50.7016129032258,13.3228127902917,"BEL",2018-03-01,7.96,51.12,65.03,399.35,65.03
"143","Belgium",2018,4,37.7443333333333,7.20772606703885,"BEL",2018-04-01,6.89,49.54,69.92,159.21,69.92
"144","Belgium",2018,5,44.5548387096774,11.3660696434513,"BEL",2018-05-01,7,45.97,77.58,83.03,77.58
"145","Belgium",2018,6,49.933,8.72411922241418,"BEL",2018-06-01,6.82,39.89,73.59,22.91,73.59
"146","Belgium",2018,7,52.9603225806452,6.19553628772143,"BEL",2018-07-01,6.98,39.15,73.1,24.04,73.1
"147","Belgium",2018,8,60.7370967741935,9.16194527872343,"BEL",2018-08-01,6.89,35.25,71.62,24.76,71.62
"148","Belgium",2018,9,68.7223333333333,11.4397789595638,"BEL",2018-09-01,6.8,29.79,78.19,79.61,78.19
"149","Belgium",2018,10,76.0532258064516,16.1022959826845,"BEL",2018-10-01,7.26,18.81,80.81,174.44,80.81
"150","Belgium",2018,11,77.7266666666667,27.1987539437371,"BEL",2018-11-01,7.46,19.49,65.43,323.3,65.43
"151","Belgium",2018,12,59.6645161290323,8.36624799963507,"BEL",2018-12-01,7.65,29.33,56.68,385,56.68
"152","Belgium",2019,1,60.4761290322581,8.9649033002479,"BEL",2019-01-01,8.21,39.14,57.93,475.29,57.93
"153","Belgium",2019,2,47.5675,6.04388985915773,"BEL",2019-02-01,7.1,43.77,63.92,316.84,63.92
"154","Belgium",2019,3,37.6090322580645,7.10874689137202,"BEL",2019-03-01,7.4,49.65,65.78,307.96,65.78
"155","Belgium",2019,4,37.9243333333333,8.73181289520003,"BEL",2019-04-01,6.83,52.28,70.97,217.06,70.97
"156","Belgium",2019,5,38.0006451612903,6.75203965997627,"BEL",2019-05-01,6.88,54.22,70.47,193.25,70.47
"157","Belgium",2019,6,27.487,28.0168554131505,"BEL",2019-06-01,6.53,45.63,63.08,33.8,63.08
"158","Belgium",2019,7,37.7629032258065,6.15891342881647,"BEL",2019-07-01,6.63,50.28,63.42,40.15,63.42
"159","Belgium",2019,8,33.6945161290323,8.60252437319406,"BEL",2019-08-01,6.57,53.66,59.02,10.35,59.02
"160","Belgium",2019,9,33.584,6.3183447199405,"BEL",2019-09-01,6.65,51.96,63.16,68.48,63.16
"161","Belgium",2019,10,37.6196774193548,6.61248691687223,"BEL",2019-10-01,7.15,41.61,59.24,177.22,59.24
"162","Belgium",2019,11,44.4083333333333,6.94850273295514,"BEL",2019-11-01,7.39,42.6,62.58,347.73,62.58
"163","Belgium",2019,12,36.3606451612903,10.2174709641489,"BEL",2019-12-01,7.5,48.63,66.33,383.95,66.33
"164","Belgium",2020,1,37.8474193548387,5.99803577167389,"BEL",2020-01-01,7.79,40.64,63.227,389.54,63.227
"165","Belgium",2020,2,28.3568965517241,5.17109072733643,"BEL",2020-02-01,7.06,41.03,55.721,321.49,55.721
"166","Belgium",2020,3,24.0225806451613,8.82112312113824,"BEL",2020-03-01,6.91,42.3,32.785,345.32,32.785
"167","Belgium",2020,4,14.6793333333333,9.9300498083042,"BEL",2020-04-01,5.92,48.76,17.682,174.12,17.682
"168","Belgium",2020,5,15.4077419354839,7.57633451816793,"BEL",2020-05-01,6.28,44.96,26.034,131.68,26.034
"169","Belgium",2020,6,25.5893333333333,7.31159538858906,"BEL",2020-06-01,6.31,35.06,39.871,38.74,39.871
