country_code,country_name,year,month,temperature
AL,Albania,2015,1,2.8644522457353525
AL,Albania,2015,2,3.7468300376619608
AL,Albania,2015,3,6.0031253830079105
AL,Albania,2015,4,9.462490407625834
AL,Albania,2015,5,16.18066772337883
AL,Albania,2015,6,19.19391148885091
AL,Albania,2015,7,24.327421803628244
AL,Albania,2015,8,23.218129127256333
AL,Albania,2015,9,19.34732681910197
AL,Albania,2015,10,13.504474455310453
AL,Albania,2015,11,9.29293875694275
AL,Albania,2015,12,4.328726368565713
AL,Albania,2016,1,3.40681206410931
AL,Albania,2016,2,8.258384671704523
AL,Albania,2016,3,7.593689964663598
AL,Albania,2016,4,13.184369150797528
AL,Albania,2016,5,13.801958514798072
AL,Albania,2016,6,19.86525926589966
AL,Albania,2016,7,22.62554156395697
AL,Albania,2016,8,21.628665062689013
AL,Albania,2016,9,18.128867626190186
AL,Albania,2016,10,14.23366965017011
AL,Albania,2016,11,9.423210046688716
AL,Albania,2016,12,4.425755248915765
AL,Albania,2017,1,-0.15949388425196337
AL,Albania,2017,2,6.729155719280243
AL,Albania,2017,3,9.686971356791835
AL,Albania,2017,4,10.615656359990437
AL,Albania,2017,5,15.647739841092017
AL,Albania,2017,6,20.766438579559328
AL,Albania,2017,7,22.771258446478075
AL,Albania,2017,8,23.048541284376576
AL,Albania,2017,9,17.65864585240682
AL,Albania,2017,10,12.751040227951542
AL,Albania,2017,11,8.859519267082215
AL,Albania,2017,12,4.927743476244711
AL,Albania,2018,1,5.527707330642208
AL,Albania,2018,2,5.793262094259262
AL,Albania,2018,3,8.479168085321303
AL,Albania,2018,4,14.738002347946168
AL,Albania,2018,5,18.054698851800733
AL,Albania,2018,6,20.359410158793132
AL,Albania,2018,7,22.571104726483746
AL,Albania,2018,8,22.94878448978547
AL,Albania,2018,9,18.877031485239666
AL,Albania,2018,10,15.689269681130686
AL,Albania,2018,11,11.030948996543884
AL,Albania,2018,12,5.064073554931149
AL,Albania,2019,1,2.582331429085423
AL,Albania,2019,2,5.5970203051609655
AL,Albania,2019,3,9.514980193107359
AL,Albania,2019,4,11.910515689849854
AL,Albania,2019,5,13.571978630558137
AL,Albania,2019,6,21.38829647699992
AL,Albania,2019,7,22.38813707905431
AL,Albania,2019,8,22.920833464591734
AL,Albania,2019,9,19.919751103719076
AL,Albania,2019,10,16.131630989813036
AL,Albania,2019,11,12.603131993611653
AL,Albania,2019,12,7.219092155656506
AL,Albania,2020,1,4.6897283311813105
